Ticker,No.,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ACWI,63,iShares MSCI ACWI ETF,Financial,Exchange Traded Fund,USA,,,139.95,-1.3,1107397
AGNG,119,Global X Aging Population ETF,Financial,Exchange Traded Fund,USA,,,35.9,-0.72,5218
AIA,127,iShares Asia 50 ETF,Financial,Exchange Traded Fund,USA,,,92.24,-1.84,70486
AROW,295,Arrow Financial Corp,Financial,Banks - Regional,USA,539970000.0,15.79,32.84,0.83,25670
BANX,416,ArrowMark Financial Corp,Financial,Closed-End Fund - Debt,USA,157540000.0,8.07,22.1,-0.34,10596
BCBP,437,BCB Bancorp Inc (NJ),Financial,Banks - Regional,USA,144380000.0,174.58,8.38,-0.24,30482
CARZ,709,First Trust S-Network Future Vehicles & Technology ETF,Financial,Exchange Traded Fund,USA,,,75.84,-0.74,574
CDL,753,VictoryShares US Large Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,,,68.99,-0.95,1742
CNOB,889,ConnectOne Bancorp Inc,Financial,Banks - Regional,USA,1380000000.0,22.25,27.5,0.19,59627
COLB,912,"Columbia Banking System, Inc",Financial,Banks - Regional,USA,8660000000.0,13.02,28.94,-0.75,545378
CPB,935,Campbells Co,Consumer Defensive,Packaged Foods,USA,8580000000.0,14.89,28.77,1.79,2831896
CYRX,1046,CryoPort Inc,Industrials,Integrated Freight & Logistics,USA,459390000.0,,9.18,-0.7,201174
DENN,1081,Denny's Corp,Consumer Cyclical,Restaurants,USA,319550000.0,31.69,6.2,0.08,121424
DGRW,1097,WisdomTree U.S. Quality Dividend Growth Fund,Financial,Exchange Traded Fund,USA,,,89.05,-0.48,247761
ECOW,1220,Pacer Emerging Markets Cash Cows 100 ETF,Financial,Exchange Traded Fund,USA,,,25.1,-0.84,9808
EGBN,1240,Eagle Bancorp Inc (MD),Financial,Banks - Regional,USA,640530000.0,,21.09,-0.52,47522
ENZL,1295,iShares MSCI New Zealand ETF,Financial,Exchange Traded Fund,USA,,,45.18,-1.25,370
ERIC,1308,Telefonaktiebolaget L M Ericsson ADR,Technology,Communication Equipment,Sweden,29530000000.0,12.97,9.61,0.58,1824654
ERII,1310,Energy Recovery Inc,Industrials,Pollution & Treatment Controls,USA,771530000.0,42.8,14.56,0.31,144895
ESPO,1325,VanEck Video Gaming and eSports ETF,Financial,Exchange Traded Fund,USA,,,105.83,-0.48,25359
EVO,1349,Evotec SE ADR,Healthcare,Drug Manufacturers - Specialty & Generic,Germany,1060000000.0,,2.99,0.34,126230
FCBC,1407,First Community Bankshares Inc,Financial,Banks - Regional,USA,645380000.0,13.15,35.24,-0.26,5707
FER,1443,Ferrovial S.E,Industrials,Engineering & Construction,Netherlands,48560000000.0,13.38,67.49,0.05,854699
FEX,1446,First Trust Large Cap Core AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,118.26,-0.62,3738
FHB,1465,First Hawaiian INC,Financial,Banks - Regional,USA,3210000000.0,12.68,25.98,-0.31,180128
FIEE,1470,FiEE Inc,Technology,Communication Equipment,Hong Kong,17570000.0,,2.79,-1.76,13031
FJP,1485,First Trust Japan AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,67.54,-1.54,3093
FKU,1486,First Trust United Kingdom AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,49.19,0.43,1996
FNY,1523,First Trust Mid Cap Growth AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,91.84,-0.46,2180
FORM,1528,FormFactor Inc,Technology,Semiconductor Equipment & Materials,USA,4330000000.0,106.46,55.91,-0.62,250664
FYT,1617,First Trust Small Cap Value AlphaDEX Fund,Financial,Exchange Traded Fund,USA,,,57.93,-0.72,563
GECC,1647,Great Elm Capital Corp,Financial,Asset Management,USA,97710000.0,,6.98,0.72,82468
GLPI,1703,Gaming and Leisure Properties Inc,Real Estate,REIT - Specialty,USA,12330000000.0,15.66,43.57,-1.04,742494
HBAN,1803,"Huntington Bancshares, Inc",Financial,Banks - Regional,USA,27610000000.0,12.32,17.53,-1.16,6305229
HBNC,1808,Horizon Bancorp Inc (IN),Financial,Banks - Regional,USA,944770000.0,,18.45,-0.07,144201
HCSG,1819,"Healthcare Services Group, Inc",Healthcare,Medical Care Facilities,USA,1340000000.0,35.3,19.08,-1.46,271062
IDN,1988,Intellicheck Inc,Technology,Software - Application,USA,141430000.0,707.07,7.0,10.94,120168
IVAL,2146,Alpha Architect International Quantitative Value ETF,Financial,Exchange Traded Fund,USA,,,31.47,-0.18,3394
JBHT,2165,"J.B. Hunt Transport Services, Inc",Industrials,Integrated Freight & Logistics,USA,18910000000.0,34.37,198.6,0.51,221695
KBWD,2222,Invesco KBW High Dividend Yield Financial ETF,Financial,Exchange Traded Fund,USA,,,13.87,0.04,82212
KRNY,2272,Kearny Financial Corp,Financial,Banks - Regional,USA,504320000.0,16.59,7.79,-0.06,112464
LAZR,2307,Luminar Technologies Inc,Consumer Cyclical,Auto Parts,USA,28220000.0,,0.36,2.81,19810672
LFVN,2344,Lifevantage Corporation,Consumer Defensive,Packaged Foods,USA,80920000.0,8.27,6.37,-1.22,51424
LOAN,2402,Manhattan Bridge Capital Inc,Real Estate,REIT - Mortgage,USA,55820000.0,10.54,4.88,0.41,13714
LULU,2442,Lululemon Athletica inc,Consumer Cyclical,Apparel Retail,Canada,25000000000.0,14.25,204.19,-1.02,1882213
MASI,2474,Masimo Corp,Healthcare,Medical Devices,USA,7150000000.0,,133.19,-3.06,277118
MNKD,2596,Mannkind Corp,Healthcare,Biotechnology,USA,1830000000.0,63.22,5.96,0.36,808418
MU,2668,Micron Technology Inc,Technology,Semiconductors,USA,263650000000.0,30.9,234.28,-1.36,8142835
NRIM,2812,"Northrim Bancorp, Inc",Financial,Banks - Regional,USA,606610000.0,9.77,27.46,-0.87,41484
